#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
# DPW-8/AePW-4 UNSTEADY SECTIONAL CUT SUBMITTAL FORM (Version 5 - October 16, 2024)
#
# Provide this file for steady-state or time-averaged sectional cuts
#
#
#
# Data Set Title XXX.YY: Replace "XXX.YY" in the zone titles with the following information
#                     (Three-Digit Participant ID).(Two-Digit Submission ID)
#                     XXX  THREE-DIGIT PARTICIPANT ID: assigned by your working group leaders
#                     YY   TWO-DIGIT  SUBMISSION ID:  (self assigned) label a solver/grid/computational approach
#                     K.KK ALPHA: Angle of attack for the solution
#                     L    GRID LEVEL: 1, 2, 3, 4, 5, or 6
#                     EXAMPLE: 007.02 - ALPHA 2.50 - GRID 3 - WING SECTION  1
#
# 
#       NOMENCLATURE:
#                  X:   X coordinate
#                  Y:   Y coordinate
#                  Z:   Z coordinate
#                X/C:   Chord Fraction = (X - X_LE)/CHORD
#             CP_AVG:   Time-averaged coefficient of pressure
#             CP_RMS:   Root mean square of instantaneous coefficient of pressure
#             CF_AVG:   Time-averaged skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#             CF_RMS:   Root mean square of skin-friction coefficient at wall [tauw/(freestream dynamic pressure)]
#                   
#        DEFINITIONS:   CTU --> Convective Time Unit  (Uinf/Cref is 1.00 CTU)
#
#   REFERENCE VALUES: ONERA OAT15A (ONE CELL WIDE)
#                       Planform ref area, A         =  Cref * span (span is grid dependent)
#                       Mean aerodynamic chord, Cref =    230.00 mm
#                       x moment center              =     57.50 mm
#                       y moment center              =      0.00 mm
#                       z moment center              =      0.00 mm
#
#   REFERENCE VALUES: Common Research Model
#                       Planform ref area, A         = 594720.00 inches^2
#                       Mean aerodynamic chord, Cref =    275.80 inches
#                       Full-span length, B          =   2313.50 inches
#                       Semi-span length, BO2        =   1156.75 inches
#                       x moment center              =   1325.90 inches
#                       y moment center              =      0.00 inches
#                       z moment center              =    177.95 inches
#                       Aspect Ratio, AR             =      9.00
#
#   CONFIGURATION:      ONERA OAT15A
#                       CRMWB   (Common Research Model Wing/Body)
#                       CRMWBNP (Common Research Model Wing/Body/Nacelle/Pylon)
#
#
#              NOTES:   1. All numerical data fields can be free-formatted.
#                       2. Please use at least 4 decimal places for coordinate values
#                       3. Please use at least 6 decimal places for coefficient values
#                       4. Only include one grid type, grid size, soln method, turb model, etc per form.
#                       5. Fill fields with value of -999 for data that are not available.
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

TITLE = "XXX.YY"
# Column       1     2     3     4       5          6          7          8
VARIABLES =   "X"   "Y"   "Z"   "X/C"   "CP_AVG"   "CP_RMS"   "CF_AVG"   "CF_RMS"


#---------------------------------------------------
#   PARTICIPANT, GRID, AND SOLVER INFORMATION
#---------------------------------------------------
DATASETAUXDATA ParticipantID   = "Participant ID"
-999 -999 -999 0.955965 0.068915 -999 -999 -999
-999 -999 -999 0.943676 0.082648 -999 -999 -999
-999 -999 -999 0.908858 -0.005509 -999 -999 -999
-999 -999 -999 0.898618 -0.057025 -999 -999 -999
-999 -999 -999 0.891961 -0.070072 -999 -999 -999
-999 -999 -999 0.859191 -0.118056 -999 -999 -999
-999 -999 -999 0.002560 0.002008 -999 -999 -999
-999 -999 -999 0.006656 -0.160147 -999 -999 -999
-999 -999 -999 0.009729 -0.256611 -999 -999 -999
-999 -999 -999 0.011777 -0.366518 -999 -999 -999
-999 -999 -999 0.015361 -0.407009 -999 -999 -999
-999 -999 -999 0.017921 -0.423323 -999 -999 -999
-999 -999 -999 0.020993 -0.508122 -999 -999 -999
-999 -999 -999 0.024578 -0.566769 -999 -999 -999
-999 -999 -999 0.041987 -0.652323 -999 -999 -999
-999 -999 -999 0.046083 -0.659974 -999 -999 -999
-999 -999 -999 0.048131 -0.679243 -999 -999 -999
-999 -999 -999 0.086534 -0.623947 -999 -999 -999
-999 -999 -999 0.090118 -0.665712 -999 -999 -999
-999 -999 -999 0.139785 -0.768869 -999 -999 -999
-999 -999 -999 0.109575 -0.757738 -999 -999 -999
-999 -999 -999 0.144905 -0.772467 -999 -999 -999
-999 -999 -999 0.221198 -0.738958 -999 -999 -999
-999 -999 -999 0.227343 -0.729742 -999 -999 -999
-999 -999 -999 0.235023 -0.610514 -999 -999 -999
-999 -999 -999 0.316948 -0.545349 -999 -999 -999
-999 -999 -999 0.439836 -0.585862 -999 -999 -999
-999 -999 -999 0.429595 -0.711218 -999 -999 -999
-999 -999 -999 0.426523 -0.613047 -999 -999 -999
-999 -999 -999 0.349206 -0.410874 -999 -999 -999
-999 -999 -999 0.420891 -0.509398 -999 -999 -999
-999 -999 -999 0.519201 -0.337682 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=28.467200 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.374115 -999 -999 -999
-999 -999 -999 0.987711 0.140627 -999 -999 -999
-999 -999 -999 0.987199 0.132520 -999 -999 -999
-999 -999 -999 0.644649 -0.234400 -999 -999 -999
-999 -999 -999 0.610343 -0.238400 -999 -999 -999
-999 -999 -999 0.740399 -0.198053 -999 -999 -999
-999 -999 -999 0.712238 -0.204416 -999 -999 -999
-999 -999 -999 0.797747 -0.150200 -999 -999 -999
-999 -999 -999 0.828981 -0.131231 -999 -999 -999
-999 -999 -999 0.002048 0.209978 -999 -999 -999
-999 -999 -999 0.000000 0.439096 -999 -999 -999
-999 -999 -999 0.002048 0.121695 -999 -999 -999
-999 -999 -999 0.985663 0.129793 -999 -999 -999
-999 -999 -999 0.969790 -0.016920 -999 -999 -999
-999 -999 -999 0.955453 0.030000 -999 -999 -999
-999 -999 -999 0.943676 0.018886 -999 -999 -999
-999 -999 -999 0.909882 -0.020860 -999 -999 -999
-999 -999 -999 0.898618 -0.063913 -999 -999 -999
-999 -999 -999 0.891449 -0.078278 -999 -999 -999
-999 -999 -999 0.855095 -0.117709 -999 -999 -999
-999 -999 -999 0.002560 -0.006453 -999 -999 -999
-999 -999 -999 0.006656 -0.187358 -999 -999 -999
-999 -999 -999 0.009729 -0.259280 -999 -999 -999
-999 -999 -999 0.011777 -0.363273 -999 -999 -999
-999 -999 -999 0.015873 -0.422913 -999 -999 -999
-999 -999 -999 0.017921 -0.440042 -999 -999 -999
-999 -999 -999 0.019969 -0.526847 -999 -999 -999
-999 -999 -999 0.024578 -0.578744 -999 -999 -999
-999 -999 -999 0.044035 -0.671269 -999 -999 -999
-999 -999 -999 0.046083 -0.671654 -999 -999 -999
-999 -999 -999 0.047107 -0.688889 -999 -999 -999
-999 -999 -999 0.087046 -0.587762 -999 -999 -999
-999 -999 -999 0.089094 -0.624474 -999 -999 -999
-999 -999 -999 0.138761 -0.749454 -999 -999 -999
-999 -999 -999 0.102919 -0.725404 -999 -999 -999
-999 -999 -999 0.144905 -0.755836 -999 -999 -999
-999 -999 -999 0.219150 -0.731953 -999 -999 -999
-999 -999 -999 0.226318 -0.735180 -999 -999 -999
-999 -999 -999 0.235535 -0.623980 -999 -999 -999
-999 -999 -999 0.314900 -0.539884 -999 -999 -999
-999 -999 -999 0.433692 -0.570954 -999 -999 -999
-999 -999 -999 0.427547 -0.685136 -999 -999 -999
-999 -999 -999 0.425499 -0.584904 -999 -999 -999
-999 -999 -999 0.347670 -0.401738 -999 -999 -999
-999 -999 -999 0.421915 -0.511424 -999 -999 -999
-999 -999 -999 0.519713 -0.297527 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=28.672000 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.375822 -999 -999 -999
-999 -999 -999 0.987206 0.204398 -999 -999 -999
-999 -999 -999 0.986694 0.200342 -999 -999 -999
-999 -999 -999 0.638690 -0.245800 -999 -999 -999
-999 -999 -999 0.609519 -0.250780 -999 -999 -999
-999 -999 -999 0.740020 -0.205531 -999 -999 -999
-999 -999 -999 0.710850 -0.211860 -999 -999 -999
-999 -999 -999 0.801433 -0.161274 -999 -999 -999
-999 -999 -999 0.828045 -0.145938 -999 -999 -999
-999 -999 -999 0.001535 0.195466 -999 -999 -999
-999 -999 -999 0.000000 0.401804 -999 -999 -999
-999 -999 -999 0.002047 0.107646 -999 -999 -999
-999 -999 -999 0.985670 0.196949 -999 -999 -999
-999 -999 -999 0.969294 0.046649 -999 -999 -999
-999 -999 -999 0.954964 0.066422 -999 -999 -999
-999 -999 -999 0.943193 0.022466 -999 -999 -999
-999 -999 -999 0.910952 -0.027318 -999 -999 -999
-999 -999 -999 0.898669 -0.075618 -999 -999 -999
-999 -999 -999 0.890481 -0.088023 -999 -999 -999
-999 -999 -999 0.850563 -0.130818 -999 -999 -999
-999 -999 -999 0.003071 -0.022125 -999 -999 -999
-999 -999 -999 0.006653 -0.189036 -999 -999 -999
-999 -999 -999 0.009212 -0.285953 -999 -999 -999
-999 -999 -999 0.011771 -0.393133 -999 -999 -999
-999 -999 -999 0.016377 -0.429011 -999 -999 -999
-999 -999 -999 0.017912 -0.433245 -999 -999 -999
-999 -999 -999 0.019447 -0.512483 -999 -999 -999
-999 -999 -999 0.024053 -0.557056 -999 -999 -999
-999 -999 -999 0.046059 -0.634914 -999 -999 -999
-999 -999 -999 0.046059 -0.639354 -999 -999 -999
-999 -999 -999 0.046059 -0.657385 -999 -999 -999
-999 -999 -999 0.087001 -0.653411 -999 -999 -999
-999 -999 -999 0.088536 -0.688743 -999 -999 -999
-999 -999 -999 0.137666 -0.772589 -999 -999 -999
-999 -999 -999 0.095701 -0.783929 -999 -999 -999
-999 -999 -999 0.144831 -0.780683 -999 -999 -999
-999 -999 -999 0.216991 -0.755145 -999 -999 -999
-999 -999 -999 0.225691 -0.753803 -999 -999 -999
-999 -999 -999 0.235926 -0.643503 -999 -999 -999
-999 -999 -999 0.312692 -0.564249 -999 -999 -999
-999 -999 -999 0.426817 -0.544062 -999 -999 -999
-999 -999 -999 0.424770 -0.654509 -999 -999 -999
-999 -999 -999 0.424258 -0.554523 -999 -999 -999
-999 -999 -999 0.346469 -0.386458 -999 -999 -999
-999 -999 -999 0.423234 -0.480836 -999 -999 -999
-999 -999 -999 0.520471 -0.304863 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=28.876800 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.367523 -999 -999 -999
-999 -999 -999 0.987206 0.241339 -999 -999 -999
-999 -999 -999 0.986694 0.237812 -999 -999 -999
-999 -999 -999 0.633060 -0.237792 -999 -999 -999
-999 -999 -999 0.608495 -0.238308 -999 -999 -999
-999 -999 -999 0.740532 -0.219459 -999 -999 -999
-999 -999 -999 0.709314 -0.228474 -999 -999 -999
-999 -999 -999 0.805015 -0.166364 -999 -999 -999
-999 -999 -999 0.827533 -0.145681 -999 -999 -999
-999 -999 -999 0.001535 0.197730 -999 -999 -999
-999 -999 -999 0.000000 0.437196 -999 -999 -999
-999 -999 -999 0.002047 0.103023 -999 -999 -999
-999 -999 -999 0.986182 0.232465 -999 -999 -999
-999 -999 -999 0.969806 0.050119 -999 -999 -999
-999 -999 -999 0.954452 0.066701 -999 -999 -999
-999 -999 -999 0.943193 0.063039 -999 -999 -999
-999 -999 -999 0.912487 -0.030437 -999 -999 -999
-999 -999 -999 0.899181 -0.080421 -999 -999 -999
-999 -999 -999 0.889969 -0.095219 -999 -999 -999
-999 -999 -999 0.846469 -0.131432 -999 -999 -999
-999 -999 -999 0.003582 -0.016592 -999 -999 -999
-999 -999 -999 0.006653 -0.181435 -999 -999 -999
-999 -999 -999 0.008700 -0.261808 -999 -999 -999
-999 -999 -999 0.011771 -0.394026 -999 -999 -999
-999 -999 -999 0.016888 -0.420694 -999 -999 -999
-999 -999 -999 0.017912 -0.434519 -999 -999 -999
-999 -999 -999 0.018936 -0.516155 -999 -999 -999
-999 -999 -999 0.024053 -0.587568 -999 -999 -999
-999 -999 -999 0.045036 -0.663821 -999 -999 -999
-999 -999 -999 0.045548 -0.672935 -999 -999 -999
-999 -999 -999 0.046059 -0.689088 -999 -999 -999
-999 -999 -999 0.078301 -0.669457 -999 -999 -999
-999 -999 -999 0.087513 -0.705706 -999 -999 -999
-999 -999 -999 0.087513 -0.768932 -999 -999 -999
-999 -999 -999 0.136643 -0.799061 -999 -999 -999
-999 -999 -999 0.089048 -0.765459 -999 -999 -999
-999 -999 -999 0.144831 -0.746564 -999 -999 -999
-999 -999 -999 0.214944 -0.752494 -999 -999 -999
-999 -999 -999 0.224667 -0.637866 -999 -999 -999
-999 -999 -999 0.236950 -0.552775 -999 -999 -999
-999 -999 -999 0.310645 -0.553284 -999 -999 -999
-999 -999 -999 0.423234 -0.667630 -999 -999 -999
-999 -999 -999 0.422723 -0.567912 -999 -999 -999
-999 -999 -999 0.420676 -0.408583 -999 -999 -999
-999 -999 -999 0.345445 -0.495359 -999 -999 -999
-999 -999 -999 0.520983 -0.293635 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=29.081600 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.363448 -999 -999 -999
-999 -999 -999 0.986701 0.276719 -999 -999 -999
-999 -999 -999 0.986701 0.273500 -999 -999 -999
-999 -999 -999 0.628133 -0.241072 -999 -999 -999
-999 -999 -999 0.607673 -0.244334 -999 -999 -999
-999 -999 -999 0.740153 -0.238707 -999 -999 -999
-999 -999 -999 0.707928 -0.241603 -999 -999 -999
-999 -999 -999 0.807673 -0.186249 -999 -999 -999
-999 -999 -999 0.826598 -0.157547 -999 -999 -999
-999 -999 -999 0.001535 0.176691 -999 -999 -999
-999 -999 -999 0.000000 0.432320 -999 -999 -999
-999 -999 -999 0.002558 0.090620 -999 -999 -999
-999 -999 -999 0.986701 0.261771 -999 -999 -999
-999 -999 -999 0.969309 0.033444 -999 -999 -999
-999 -999 -999 0.953964 0.052250 -999 -999 -999
-999 -999 -999 0.943223 0.041135 -999 -999 -999
-999 -999 -999 0.913555 -0.007663 -999 -999 -999
-999 -999 -999 0.899233 -0.048085 -999 -999 -999
-999 -999 -999 0.889514 -0.064612 -999 -999 -999
-999 -999 -999 0.842967 -0.130854 -999 -999 -999
-999 -999 -999 0.004092 -0.013354 -999 -999 -999
-999 -999 -999 0.006650 -0.175070 -999 -999 -999
-999 -999 -999 0.008696 -0.278218 -999 -999 -999
-999 -999 -999 0.012276 -0.401541 -999 -999 -999
-999 -999 -999 0.017903 -0.413676 -999 -999 -999
-999 -999 -999 0.017903 -0.416716 -999 -999 -999
-999 -999 -999 0.018414 -0.501398 -999 -999 -999
-999 -999 -999 0.024041 -0.570954 -999 -999 -999
-999 -999 -999 0.044501 -0.637963 -999 -999 -999
-999 -999 -999 0.045524 -0.641847 -999 -999 -999
-999 -999 -999 0.046547 -0.661394 -999 -999 -999
-999 -999 -999 0.086957 -0.668714 -999 -999 -999
-999 -999 -999 0.087468 -0.707914 -999 -999 -999
-999 -999 -999 0.136061 -0.773547 -999 -999 -999
-999 -999 -999 0.144757 -0.799381 -999 -999 -999
-999 -999 -999 0.213299 -0.776670 -999 -999 -999
-999 -999 -999 0.224041 -0.777750 -999 -999 -999
-999 -999 -999 0.237340 -0.764245 -999 -999 -999
-999 -999 -999 0.308951 -0.646854 -999 -999 -999
-999 -999 -999 0.422506 -0.557750 -999 -999 -999
-999 -999 -999 0.420460 -0.552667 -999 -999 -999
-999 -999 -999 0.414322 -0.684780 -999 -999 -999
-999 -999 -999 0.344246 -0.587823 -999 -999 -999
-999 -999 -999 0.521739 -0.426652 -999 -999 -999
-999 -999 -999 0.495652 -0.494392 -999 -999 -999
-999 -999 -999 0.425575 -0.309901 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=29.286400 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.399155 -999 -999 -999
-999 -999 -999 0.987212 0.353424 -999 -999 -999
-999 -999 -999 0.986701 0.350482 -999 -999 -999
-999 -999 -999 0.624552 -0.246358 -999 -999 -999
-999 -999 -999 0.606650 -0.247614 -999 -999 -999
-999 -999 -999 0.740153 -0.227774 -999 -999 -999
-999 -999 -999 0.706394 -0.225223 -999 -999 -999
-999 -999 -999 0.810230 -0.176496 -999 -999 -999
-999 -999 -999 0.826087 -0.153251 -999 -999 -999
-999 -999 -999 0.001535 0.201728 -999 -999 -999
-999 -999 -999 0.000000 0.426599 -999 -999 -999
-999 -999 -999 0.002046 0.128104 -999 -999 -999
-999 -999 -999 0.986701 0.332208 -999 -999 -999
-999 -999 -999 0.969309 0.057277 -999 -999 -999
-999 -999 -999 0.953453 0.039549 -999 -999 -999
-999 -999 -999 0.943223 -0.012927 -999 -999 -999
-999 -999 -999 0.914578 -0.044047 -999 -999 -999
-999 -999 -999 0.899233 -0.075905 -999 -999 -999
-999 -999 -999 0.889003 -0.090972 -999 -999 -999
-999 -999 -999 0.839898 -0.136767 -999 -999 -999
-999 -999 -999 0.004604 0.020400 -999 -999 -999
-999 -999 -999 0.006650 -0.175832 -999 -999 -999
-999 -999 -999 0.008696 -0.259291 -999 -999 -999
-999 -999 -999 0.012276 -0.376881 -999 -999 -999
-999 -999 -999 0.017903 -0.409091 -999 -999 -999
-999 -999 -999 0.017903 -0.435505 -999 -999 -999
-999 -999 -999 0.017903 -0.525620 -999 -999 -999
-999 -999 -999 0.024041 -0.595049 -999 -999 -999
-999 -999 -999 0.043478 -0.640352 -999 -999 -999
-999 -999 -999 0.045013 -0.642969 -999 -999 -999
-999 -999 -999 0.046547 -0.663572 -999 -999 -999
-999 -999 -999 0.086445 -0.743665 -999 -999 -999
-999 -999 -999 0.087468 -0.779731 -999 -999 -999
-999 -999 -999 0.135038 -0.761945 -999 -999 -999
-999 -999 -999 0.144757 -0.797589 -999 -999 -999
-999 -999 -999 0.212276 -0.759701 -999 -999 -999
-999 -999 -999 0.223529 -0.768903 -999 -999 -999
-999 -999 -999 0.237852 -0.758494 -999 -999 -999
-999 -999 -999 0.306905 -0.638505 -999 -999 -999
-999 -999 -999 0.421483 -0.571663 -999 -999 -999
-999 -999 -999 0.418414 -0.580027 -999 -999 -999
-999 -999 -999 0.409207 -0.711078 -999 -999 -999
-999 -999 -999 0.343734 -0.580163 -999 -999 -999
-999 -999 -999 0.522251 -0.445765 -999 -999 -999
-999 -999 -999 0.494629 -0.533465 -999 -999 -999
-999 -999 -999 0.426598 -0.316736 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=29.491200 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.409584 -999 -999 -999
-999 -999 -999 0.987212 0.409912 -999 -999 -999
-999 -999 -999 0.986701 0.409512 -999 -999 -999
-999 -999 -999 0.621995 -0.235436 -999 -999 -999
-999 -999 -999 0.606138 -0.239728 -999 -999 -999
-999 -999 -999 0.740153 -0.236470 -999 -999 -999
-999 -999 -999 0.705882 -0.229690 -999 -999 -999
-999 -999 -999 0.811765 -0.178028 -999 -999 -999
-999 -999 -999 0.826087 -0.150854 -999 -999 -999
-999 -999 -999 0.001535 0.190159 -999 -999 -999
-999 -999 -999 0.000000 0.439628 -999 -999 -999
-999 -999 -999 0.002046 0.118004 -999 -999 -999
-999 -999 -999 0.986701 0.388021 -999 -999 -999
-999 -999 -999 0.969309 0.113724 -999 -999 -999
-999 -999 -999 0.953453 0.081301 -999 -999 -999
-999 -999 -999 0.943223 0.015839 -999 -999 -999
-999 -999 -999 0.915090 -0.042014 -999 -999 -999
-999 -999 -999 0.899233 -0.080274 -999 -999 -999
-999 -999 -999 0.888491 -0.092643 -999 -999 -999
-999 -999 -999 0.837852 -0.134665 -999 -999 -999
-999 -999 -999 0.004604 0.036221 -999 -999 -999
-999 -999 -999 0.006650 -0.155236 -999 -999 -999
-999 -999 -999 0.008184 -0.268763 -999 -999 -999
-999 -999 -999 0.011765 -0.393394 -999 -999 -999
-999 -999 -999 0.017903 -0.418347 -999 -999 -999
-999 -999 -999 0.017903 -0.440439 -999 -999 -999
-999 -999 -999 0.023529 -0.528741 -999 -999 -999
-999 -999 -999 0.042967 -0.591890 -999 -999 -999
-999 -999 -999 0.044501 -0.659848 -999 -999 -999
-999 -999 -999 0.046547 -0.666256 -999 -999 -999
-999 -999 -999 0.085934 -0.692174 -999 -999 -999
-999 -999 -999 0.087468 -0.728672 -999 -999 -999
-999 -999 -999 0.134527 -0.764223 -999 -999 -999
-999 -999 -999 0.144246 -0.763328 -999 -999 -999
-999 -999 -999 0.211253 -0.784541 -999 -999 -999
-999 -999 -999 0.223018 -0.767621 -999 -999 -999
-999 -999 -999 0.237852 -0.786972 -999 -999 -999
-999 -999 -999 0.305882 -0.772252 -999 -999 -999
-999 -999 -999 0.420972 -0.640939 -999 -999 -999
-999 -999 -999 0.417391 -0.605025 -999 -999 -999
-999 -999 -999 0.406138 -0.606997 -999 -999 -999
-999 -999 -999 0.342711 -0.727828 -999 -999 -999
-999 -999 -999 0.522251 -0.571399 -999 -999 -999
-999 -999 -999 0.494118 -0.524207 -999 -999 -999
-999 -999 -999 0.427110 -0.591239 -999 -999 -999
-999 -999 -999 0.600000 -0.341772 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=29.696000 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.411049 -999 -999 -999
-999 -999 -999 0.987219 0.419849 -999 -999 -999
-999 -999 -999 0.986708 0.418763 -999 -999 -999
-999 -999 -999 0.621166 -0.230808 -999 -999 -999
-999 -999 -999 0.606339 -0.238177 -999 -999 -999
-999 -999 -999 0.740286 -0.221924 -999 -999 -999
-999 -999 -999 0.705521 -0.217437 -999 -999 -999
-999 -999 -999 0.812372 -0.163541 -999 -999 -999
-999 -999 -999 0.825665 -0.133821 -999 -999 -999
-999 -999 -999 0.001534 0.180750 -999 -999 -999
-999 -999 -999 0.000000 0.422347 -999 -999 -999
-999 -999 -999 0.002556 0.127650 -999 -999 -999
-999 -999 -999 0.986196 0.393707 -999 -999 -999
-999 -999 -999 0.969325 0.085579 -999 -999 -999
-999 -999 -999 0.952965 0.065510 -999 -999 -999
-999 -999 -999 0.943252 0.022369 -999 -999 -999
-999 -999 -999 0.915133 -0.038004 -999 -999 -999
-999 -999 -999 0.899284 -0.068175 -999 -999 -999
-999 -999 -999 0.888548 -0.083877 -999 -999 -999
-999 -999 -999 0.837423 -0.121533 -999 -999 -999
-999 -999 -999 0.004601 0.058176 -999 -999 -999
-999 -999 -999 0.006646 -0.154675 -999 -999 -999
-999 -999 -999 0.008691 -0.249435 -999 -999 -999
-999 -999 -999 0.012270 -0.371419 -999 -999 -999
-999 -999 -999 0.017894 -0.399488 -999 -999 -999
-999 -999 -999 0.018405 -0.440217 -999 -999 -999
-999 -999 -999 0.024029 -0.525646 -999 -999 -999
-999 -999 -999 0.042945 -0.567993 -999 -999 -999
-999 -999 -999 0.044990 -0.622361 -999 -999 -999
-999 -999 -999 0.046524 -0.623044 -999 -999 -999
-999 -999 -999 0.085890 -0.701324 -999 -999 -999
-999 -999 -999 0.087935 -0.771259 -999 -999 -999
-999 -999 -999 0.134458 -0.774750 -999 -999 -999
-999 -999 -999 0.144683 -0.748177 -999 -999 -999
-999 -999 -999 0.211145 -0.762353 -999 -999 -999
-999 -999 -999 0.222904 -0.741262 -999 -999 -999
-999 -999 -999 0.238241 -0.788706 -999 -999 -999
-999 -999 -999 0.305726 -0.776335 -999 -999 -999
-999 -999 -999 0.420757 -0.694030 -999 -999 -999
-999 -999 -999 0.417178 -0.636095 -999 -999 -999
-999 -999 -999 0.404908 -0.632102 -999 -999 -999
-999 -999 -999 0.343047 -0.718304 -999 -999 -999
-999 -999 -999 0.522495 -0.603653 -999 -999 -999
-999 -999 -999 0.494376 -0.565821 -999 -999 -999
-999 -999 -999 0.427403 -0.626341 -999 -999 -999
-999 -999 -999 0.600204 -0.393664 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=29.900800 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.417595 -999 -999 -999
-999 -999 -999 0.987212 0.446468 -999 -999 -999
-999 -999 -999 0.986701 0.446764 -999 -999 -999
-999 -999 -999 0.621995 -0.218267 -999 -999 -999
-999 -999 -999 0.606138 -0.228634 -999 -999 -999
-999 -999 -999 0.740153 -0.219665 -999 -999 -999
-999 -999 -999 0.705882 -0.224163 -999 -999 -999
-999 -999 -999 0.811765 -0.172070 -999 -999 -999
-999 -999 -999 0.826087 -0.143467 -999 -999 -999
-999 -999 -999 0.001535 0.159584 -999 -999 -999
-999 -999 -999 0.000000 0.435748 -999 -999 -999
-999 -999 -999 0.002046 0.106248 -999 -999 -999
-999 -999 -999 0.986701 0.418853 -999 -999 -999
-999 -999 -999 0.969309 0.091272 -999 -999 -999
-999 -999 -999 0.953453 0.058481 -999 -999 -999
-999 -999 -999 0.943223 0.021006 -999 -999 -999
-999 -999 -999 0.915090 -0.042832 -999 -999 -999
-999 -999 -999 0.899233 -0.061756 -999 -999 -999
-999 -999 -999 0.888491 -0.077361 -999 -999 -999
-999 -999 -999 0.837852 -0.123154 -999 -999 -999
-999 -999 -999 0.004604 0.046041 -999 -999 -999
-999 -999 -999 0.006650 -0.145758 -999 -999 -999
-999 -999 -999 0.008184 -0.251763 -999 -999 -999
-999 -999 -999 0.012276 -0.374296 -999 -999 -999
-999 -999 -999 0.017903 -0.386641 -999 -999 -999
-999 -999 -999 0.017903 -0.434999 -999 -999 -999
-999 -999 -999 0.023529 -0.502072 -999 -999 -999
-999 -999 -999 0.042967 -0.580498 -999 -999 -999
-999 -999 -999 0.045013 -0.649908 -999 -999 -999
-999 -999 -999 0.046547 -0.654021 -999 -999 -999
-999 -999 -999 0.085934 -0.666821 -999 -999 -999
-999 -999 -999 0.087468 -0.724894 -999 -999 -999
-999 -999 -999 0.134527 -0.746216 -999 -999 -999
-999 -999 -999 0.144757 -0.737410 -999 -999 -999
-999 -999 -999 0.211253 -0.752961 -999 -999 -999
-999 -999 -999 0.223018 -0.747607 -999 -999 -999
-999 -999 -999 0.237852 -0.779972 -999 -999 -999
-999 -999 -999 0.305882 -0.761265 -999 -999 -999
-999 -999 -999 0.420972 -0.703572 -999 -999 -999
-999 -999 -999 0.417391 -0.649061 -999 -999 -999
-999 -999 -999 0.406138 -0.658374 -999 -999 -999
-999 -999 -999 0.342711 -0.712510 -999 -999 -999
-999 -999 -999 0.522251 -0.636268 -999 -999 -999
-999 -999 -999 0.494118 -0.585688 -999 -999 -999
-999 -999 -999 0.427110 -0.654818 -999 -999 -999
-999 -999 -999 0.600000 -0.439299 -999 -999 -999


ZONE T="032.01 - ALPHA 4.84 - t=30.105600 GRID CUSTOMFSI01 - WING SECTION  1

-999 -999 -999 1.000000 0.422428 -999 -999 -999
-999 -999 -999 0.987212 0.433736 -999 -999 -999
-999 -999 -999 0.987212 0.428158 -999 -999 -999
-999 -999 -999 0.624041 -0.231342 -999 -999 -999
-999 -999 -999 0.606650 -0.258252 -999 -999 -999
-999 -999 -999 0.740665 -0.196357 -999 -999 -999
-999 -999 -999 0.706394 -0.195601 -999 -999 -999
-999 -999 -999 0.810230 -0.145935 -999 -999 -999
-999 -999 -999 0.826087 -0.112088 -999 -999 -999
-999 -999 -999 0.001535 0.187818 -999 -999 -999
-999 -999 -999 0.000000 0.423399 -999 -999 -999
-999 -999 -999 0.002558 0.146899 -999 -999 -999
-999 -999 -999 0.986701 0.401856 -999 -999 -999
-999 -999 -999 0.969821 0.074870 -999 -999 -999
-999 -999 -999 0.953453 0.056132 -999 -999 -999
-999 -999 -999 0.943223 0.029058 -999 -999 -999
-999 -999 -999 0.914578 -0.017362 -999 -999 -999
